"ID","Incident Date","City","State","School name","Latitude","Longitude","School Type","Intent","Outcome","Number Killed","Number Wounded","Narrative","Source 1","URL 1","Source 2","URL 2","Source 3","URL 3","Created","Last Modified"
"322","2018-01-20","Winston Salem","NC","Wake Forest University","36.133609","-80.277446","","Attack on others","Death","1","0","A student at Winston-Salem State University, 21, was attending a sorority party at Wake Forest University when he got into an argument with another person. The argument escalated, the other person fired shots, and the student was critically hit. The shooter then left the campus. The shooter was later arrested in August at a home in Charlotte. He has been charged with murder, possession of a stolen firearm, and carrying a concealed gun.","Fox 8","https://bit.ly/2HwVapw","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"323","2018-01-22","New Orleans","LA","The NET Charter High School","29.94001","-90.07969","","Attack on others","No one shot","0","0","An unknown person in a pickup truck drove past The NET Charter High School and fired shots at students standing in the campus parking lot.  An unidentified boy, 14, was injured with an abrasion, though police said that it was not a gunshot wound. Police also discovered that another student had gunshot residue on his hands, while a third was carrying live ammunition and was later arrested. They are continuing to investigate the situation. ","Nola/The Times-Picayune","http://bit.ly/2n6VOks","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"324","2018-01-22","Italy","TX","Italy High School","32.181129","-96.878968","","Attack on others","Injury","0","1","A 16-year-old male student opened fire in the cafeteria at Italy High School, hitting a 15-year-old girl in the neck and abdomen. After taking aim at a second student and missing, the boy was confronted by a school staff member. He was apprehended before he could leave the campus. The injured student was airlifted to an area hospital. Police announced that they are continuing to investigate.","The Washington Post","http://wapo.st/2n4NO2u","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"325","2018-01-23","Benton","KY","Marshall County High School","36.9128","-88.3329","","Mass Shooting (4+ Shot)","Death","2","14","A 15-year-old male student opened fire on other students at Marshall County High School, shooting continuously as people attempted to flee. One student, 15, was killed at the scene, while another student, also 15, died a short time later at a hospital. Preliminary reports suggest that 14 other students were also shot, some sustaining critical injuries. An additional four people sustained other injuries as they tried to escape. Police have not yet released the name of the shooter, who was apprehended, and are continuing to investigate.","NBC News","http://nbcnews.to/2F8pO6e","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"326","2018-01-25","Mobile","AL","Murphy High School","30.6828","-88.0867","","Other","No one shot","0","0","A disagreement between two 16-year-old students escalated when one pulled out a handgun. School administrators noticed the weapon and tried to calm him; the boy then fled across campus. He was pursued by staff until he fired the gun four or five times into the air. Nobody was injured. The shooter was taken into custody and charged for multiple offenses, including possession of a weapon on school property.","Fox 10","http://bit.ly/2GgSKtX","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"327","2018-01-26","Dearborn","MI","Dearborn High School","42.3087","-83.2617","","Attack on others","No one shot","0","0","Two individuals became involved in an altercation during a basketball game at Dearborn High School. School officials removed them from the building, but one of the individuals was then shot at from a moving vehicle in the parking lot. No injuries were reported.","WXYZ Detroit","http://bit.ly/2rPyaxK","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"328","2018-01-31","Philadelphia","PA","Lincoln High School","40.044097","-75.042461","","Attack on others","Death","1","0","A fight began in the school parking lot outside a basketball game, and the school went into lockdown after shots were fired. A 32-year-old male was transported by private vehicle to Nazareth Hospital with two gunshot wounds in his leg. He was transferred by helicopter to another hospital, but died from his injuries. Police announced that they are searching for an adult male suspect.","NBC 10","https://bit.ly/2qsyWgV","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"329","2018-02-01","Los Angeles","CA","Salvador B. Castro Middle School","34.061536","-118.263282","","Unintentional Discharge","Injury","0","2","A 12-year-old female student unintentionally discharged a handgun in a school classroom. A 15-year-old boy was shot in the head and a 15-year-old girl was shot in the wrist. Police arrested the female shooter and charged her with negligent discharge of a firearm. The source of the gun and why she had it on school grounds remains under investigation.","Los Angeles Times","http://lat.ms/2DVe9Y7","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"331","2018-02-05","Maplewood","MN","Harmony Learning Center","45.021275","-93.017502","","Unintentional Discharge","No one shot","0","0","A school liaison officer was sitting on a bench talking with some students when a third-grader pressed the trigger on the officer's holstered weapon, causing it to fire and strike the floor. The holster was equipped with a trigger guard designed to prevent such unintentional discharges, so the department is reviewing the circumstances surrounding the event. ","Twin Cities Pioneer Press","http://bit.ly/2FS5dTU","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"330","2018-02-05","Oxon Hill","MD","Oxon Hill High School","38.797106","-76.994343","","Attack on others","Injury","0","1","A 17-year-old male student got into an argument in the school parking lot and was shot twice in the chest. He walked into the school building, seeking help, and was transported to the hospital in a critical condition. Police said a preliminary investigation suggested robbery was the motive. They charged two people, 17 and 18, with attempted murder. They claim there was a 3rd unidentified person in the vehicle that pulled the trigger.","NBC Washington","http://bit.ly/2Ecqyv0","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
